initial_state,h1_steps,h1_expanded,h2_steps,h2_expanded,h3_steps,h3_expanded
"[1, 6, 2, 3, 13, 7, 10, 4, 14, 9, 8, 12, 5, 11, None, 15]",27,160085,27,3447,27,5683
"[1, 2, 11, None, 9, 5, 4, 3, 14, 13, 10, 6, 15, 12, 8, 7]",27,80832,27,91,27,302
"[5, 1, 8, 2, 6, 3, 4, 12, 9, None, 10, 7, 13, 14, 11, 15]",17,379,17,30,17,42
"[2, 4, 8, 11, 5, 1, 14, 10, 7, 3, 12, None, 9, 6, 13, 15]",TIMEOUT,TIMEOUT,35,17204,35,57550
"[2, 3, 4, None, 6, 5, 11, 7, 9, 12, 15, 8, 1, 10, 13, 14]",TIMEOUT,TIMEOUT,33,36191,33,62274
"[None, 1, 3, 4, 5, 2, 8, 11, 13, 6, 10, 7, 14, 9, 15, 12]",14,67,14,24,14,26
"[2, 10, 6, 3, 5, 13, 1, 4, 14, 15, 8, None, 9, 12, 7, 11]",TIMEOUT,TIMEOUT,29,851,29,2877
"[2, 3, 8, 4, 1, 5, 10, 12, 9, None, 13, 7, 14, 6, 11, 15]",21,3508,21,113,21,181
"[5, 2, 1, 4, 9, 3, 8, 11, 13, 6, 10, 7, None, 14, 15, 12]",21,5124,21,455,21,590
"[5, 1, 3, 4, 2, None, 11, 12, 14, 10, 8, 7, 13, 9, 6, 15]",TIMEOUT,TIMEOUT,32,97603,TIMEOUT,TIMEOUT
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, None, 12, 13, 14, 11, 15]",2,3,2,3,2,3
"[5, 1, None, 3, 9, 10, 2, 4, 14, 6, 7, 12, 13, 15, 8, 11]",24,30804,24,1328,24,2303
"[1, None, 9, 4, 14, 3, 2, 6, 5, 12, 8, 7, 10, 13, 11, 15]",27,143334,27,467,27,1390
"[6, 1, 3, 4, 2, 9, 7, 8, 5, 15, 10, 14, 13, None, 11, 12]",22,12914,22,930,22,1404
"[1, 3, 6, 4, 5, 14, 12, 8, 9, 2, None, 7, 13, 10, 15, 11]",22,27735,22,1211,22,2056
"[9, 1, 5, 4, 13, 11, 2, 3, 14, 10, 6, 7, None, 15, 12, 8]",27,69808,27,379,27,898
"[5, 1, 2, 4, None, 3, 11, 7, 9, 14, 10, 8, 13, 6, 15, 12]",23,30308,23,2591,23,3156
"[5, 1, 4, 8, 13, 7, 14, 2, 3, 6, 12, None, 11, 9, 10, 15]",TIMEOUT,TIMEOUT,31,1950,31,7503
"[1, 2, 4, 8, 5, 10, 6, 3, 9, None, 7, 11, 13, 14, 15, 12]",9,20,9,13,9,13
"[3, 9, 7, 4, None, 1, 5, 2, 6, 10, 12, 8, 13, 14, 11, 15]",21,4103,21,113,21,184
"[1, 2, 3, 4, 5, 6, 12, 8, 9, 14, 15, 10, 13, 7, None, 11]",19,7090,19,784,19,1026
"[1, None, 4, 8, 5, 2, 7, 3, 9, 6, 10, 12, 13, 14, 11, 15]",11,46,11,29,11,29
"[2, 6, 5, 12, 1, 10, None, 4, 13, 9, 7, 3, 14, 11, 8, 15]",TIMEOUT,TIMEOUT,29,2186,29,5951
"[1, 6, 7, 2, 9, 3, 4, 10, 5, 15, 11, 8, 13, 14, 12, None]",TIMEOUT,TIMEOUT,30,16100,30,32785
"[1, None, 2, 3, 5, 6, 7, 4, 9, 10, 11, 8, 13, 14, 15, 12]",5,6,5,6,5,6
"[10, 5, 2, 4, 1, 6, 7, 8, 11, None, 14, 12, 13, 3, 9, 15]",TIMEOUT,TIMEOUT,31,34795,31,70533
"[1, 11, 2, 4, 15, 13, 3, 8, 5, 6, 12, 14, 10, 9, None, 7]",TIMEOUT,TIMEOUT,33,12875,33,49247
"[1, 6, 2, 3, 5, 7, None, 4, 9, 10, 11, 8, 14, 15, 13, 12]",21,10121,21,1691,21,1770
"[1, 2, 3, 4, 9, 5, 6, 8, 13, None, 7, 11, 14, 10, 15, 12]",9,10,9,10,9,10
"[6, 1, 8, 3, 2, 7, 4, 12, 5, 14, 9, 10, 13, 11, None, 15]",21,1996,21,46,21,96
"[5, 9, 3, 4, 2, 1, 6, 7, 10, 15, None, 8, 13, 14, 12, 11]",22,13073,22,323,22,748
"[1, 3, 7, 4, 5, 2, 8, None, 9, 6, 10, 11, 13, 14, 15, 12]",8,9,8,9,8,9
"[9, 1, 2, 3, 6, 5, 8, 4, 13, 10, 7, 11, 14, None, 15, 12]",18,365,18,85,18,85
"[6, 1, 3, 4, 5, 2, 15, 7, 13, 9, 11, 12, None, 8, 10, 14]",TIMEOUT,TIMEOUT,27,3775,27,7158
"[1, 2, 14, 3, 6, 7, 4, 8, 5, 15, 11, None, 9, 13, 10, 12]",21,5074,21,121,21,271
"[1, 3, 10, 4, 5, 6, 2, 8, None, 15, 7, 11, 9, 13, 14, 12]",18,1283,18,135,18,176
"[1, 2, 3, 4, 5, 10, 11, 7, 9, 14, 6, 12, 13, None, 15, 8]",18,4580,18,1026,18,1086
"[1, 2, 3, 4, 5, None, 6, 7, 9, 14, 12, 8, 13, 11, 10, 15]",10,30,10,12,10,12
"[1, 4, 8, None, 5, 2, 10, 3, 9, 6, 12, 7, 13, 14, 11, 15]",19,2697,19,386,19,451
"[1, 6, 2, 3, None, 5, 7, 4, 13, 10, 11, 15, 14, 9, 12, 8]",19,1006,19,113,19,140
"[9, 1, 3, 4, 10, 6, 11, 8, 2, 5, 12, 15, None, 7, 13, 14]",TIMEOUT,TIMEOUT,31,10358,31,22112
"[None, 1, 7, 3, 9, 2, 6, 4, 13, 5, 15, 12, 14, 10, 11, 8]",22,5865,22,608,22,665
"[6, 2, 4, 8, 5, 1, 3, 11, 15, 10, 7, 12, 9, 13, None, 14]",25,39937,25,816,25,1587
"[1, 7, 4, 8, 10, 11, 12, 14, 2, 5, 13, 3, 6, 9, None, 15]",TIMEOUT,TIMEOUT,35,12069,35,65777
"[2, None, 3, 4, 1, 5, 6, 7, 9, 14, 10, 8, 13, 11, 15, 12]",13,80,13,29,13,29
"[1, 3, 6, 4, None, 2, 7, 8, 5, 9, 10, 15, 13, 14, 12, 11]",15,270,15,55,15,78
"[5, 1, 3, 4, 9, 2, 15, 7, 13, None, 10, 8, 12, 6, 11, 14]",25,66907,25,991,25,1672
"[1, 7, 3, 4, 9, 8, 10, 2, 13, 6, 5, 12, 14, None, 11, 15]",24,43192,24,738,24,1672
"[1, 2, 3, 4, None, 6, 7, 8, 5, 10, 15, 11, 9, 13, 14, 12]",7,9,7,8,7,8
"[1, 2, None, 11, 5, 8, 4, 3, 14, 6, 10, 7, 9, 13, 15, 12]",18,678,18,64,18,83
"[1, None, 6, 7, 9, 3, 4, 2, 10, 5, 11, 8, 13, 14, 15, 12]",17,475,17,55,17,83
