generation,min_string,min_fitness,max_string,max_fitness,avg_fitness,sum_fitness
0,11111000111011100111010101011100010011011110101000110000110110010001001001111000,7.953539531270852e-05,10010100100011010101010101011011010000101001101111000100001000100111110001000111,0.02464819459905717,0.0023038725613449586,0.23038725613449587
1,11111100110011101100001110101100000000000111111001111000111101001111101001011100,0.00014170203417753825,01010010100011111000010010100110110100110101101011100110100001110101000011100110,0.13699624730134358,0.013884552931839511,1.3884552931839511
2,01010010100011111000010010100110110100111111010100111101000000100010010101010111,0.00018195629397267099,01011010011001110000101110010011101111001010001100111101000000100010010101010111,0.14910483644609293,0.0370975127418262,3.70975127418262
3,00011010011001010000101110010011100000011010111111000011000001011011011111100110,0.0003216277403073376,01011011111111110010100000110110111110001010001110111101000000000010010101010101,0.19391512523671375,0.06334660081361332,6.334660081361331
4,11011001111111100110001101000110111110001110001110100110100001110101000011101110,0.0001719926733916192,01011011111111110010100010110110111110001010001110111101000001100000011000100110,0.19392123344403206,0.08126806820117949,8.126806820117949
5,00011001101011100110001101000110111111101010001100111100001000100011110110010001,0.00031715197699519796,01011011111111110010100010110110111110001010001110111101000001100000010101110001,0.19392123058142635,0.09281074302253041,9.28107430225304
6,01010010100011111000010000000110111110001110011111011100011110101110011001000111,0.000317223503091094,01011011111111110010100000110110111110001010011100100101000000100011110001010100,0.8245085372573836,0.10612713749514727,10.612713749514727
7,11011011110110110010100000110110111100001010001110111101011000001100111010100111,0.000515821353670454,01011011111111110010100000110110111110001010011100100101000101001011101001011000,0.8245938329646082,0.15745040628459728,15.745040628459728
8,00001010011011100100001101000000111110001010011100100101000101001011101001011000,0.00016982680867786928,01011011111111110010100000110110101110001010011100100101000101001011101001011000,0.8245938325050182,0.23601590248889334,23.601590248889334
9,01011011011011100110001100110110111110001110011101100101000000100011110001010100,0.0003229178281576375,01011011111011110010100001110110111110001010011110100101000000100111110001000111,0.9507042237412688,0.43421950530970327,43.42195053097033
