initial_state,h1_steps,h1_expanded,h2_steps,h2_expanded,h3_steps,h3_expanded
"[1, 7, 4, 3, 5, 6, 12, 2, 8, 10, 11, 17, 19, 15, 20, 16, 22, 14, 9, 24, 21, 18, 23, 13, None]",TIMEOUT,TIMEOUT,30,2925,30,8128
"[1, 2, None, 8, 5, 6, 7, 4, 9, 10, 11, 12, 3, 19, 14, 16, 22, 13, 18, 15, 21, 23, 17, 24, 20]",18,321,18,88,18,91
"[6, 1, 3, 4, 5, 2, 12, 8, 9, 10, 11, 13, 7, 14, 15, 16, 17, 18, 24, 19, 21, None, 22, 23, 20]",19,1015,19,214,19,235
"[1, 7, 2, 4, 5, 17, 6, 18, 8, 10, None, 3, 12, 9, 15, 11, 22, 14, 13, 20, 16, 21, 23, 19, 24]",24,4550,24,80,24,140
"[2, 7, 9, 14, 3, 6, 1, 13, None, 5, 11, 12, 8, 4, 10, 16, 17, 18, 20, 15, 21, 22, 23, 19, 24]",TIMEOUT,TIMEOUT,34,137596,TIMEOUT,TIMEOUT
"[1, 3, 4, 8, 5, 6, 2, 7, 9, 10, 11, 12, 13, 14, None, 21, 22, 18, 19, 15, 23, 16, 17, 24, 20]",26,26798,26,1646,26,2452
"[1, 2, 3, 4, 5, 6, 7, 13, 15, 8, 11, 17, 12, 10, None, 22, 14, 9, 18, 20, 16, 21, 23, 19, 24]",24,9552,24,124,24,254
"[1, 2, 4, 10, 8, 6, 7, 3, 5, None, 11, 12, 13, 9, 15, 16, 17, 18, 14, 20, 21, 22, 23, 19, 24]",13,78,13,35,13,35
"[1, 2, 4, 9, 5, 6, 7, 13, 14, 15, 11, 12, None, 3, 8, 16, 17, 18, 20, 10, 21, 22, 23, 19, 24]",24,59646,24,2501,24,3413
"[1, 2, 3, 4, 5, 6, 12, 7, 9, 10, None, 11, 17, 13, 15, 16, 22, 8, 14, 20, 21, 23, 18, 19, 24]",14,62,14,21,14,21
"[1, 2, 3, 4, 5, 6, 12, 7, 9, 10, 16, 8, 14, 13, 15, 21, 11, None, 24, 19, 22, 17, 23, 18, 20]",21,2656,21,194,21,306
"[1, 2, 3, 4, 5, 6, 7, 8, 15, 9, 11, 18, None, 13, 20, 16, 12, 17, 10, 19, 21, 22, 23, 24, 14]",20,8018,20,356,20,615
"[1, 2, 3, 10, 4, 11, 6, 7, 19, 5, 13, 12, None, 8, 14, 16, 17, 9, 18, 15, 21, 22, 23, 24, 20]",24,14413,24,335,24,528
"[1, 2, 3, 8, 4, 6, 12, 10, 18, 5, 11, 13, 7, 15, None, 16, 17, 14, 19, 9, 21, 22, 23, 24, 20]",26,117897,26,1513,26,3583
"[6, 3, 4, 9, 5, 16, 1, 2, 10, 15, 17, 11, 7, 14, 20, 13, 12, 23, 8, 18, 21, 22, None, 19, 24]",TIMEOUT,TIMEOUT,32,293,32,941
"[1, 2, 13, 4, 5, 3, 11, 8, 9, 10, 6, 7, 17, 14, 15, 16, 12, 18, 20, 24, 21, 22, 23, 19, None]",26,85599,26,2278,26,4107
"[1, 2, 14, 3, 4, 7, 9, None, 19, 5, 6, 11, 12, 13, 10, 16, 17, 8, 23, 15, 21, 22, 18, 24, 20]",27,48962,27,759,27,1213
"[1, 2, 3, 4, 5, 6, 7, None, 9, 10, 12, 13, 8, 23, 15, 11, 21, 19, 20, 24, 17, 16, 14, 18, 22]",27,120336,27,224,27,861
"[1, 3, 4, 9, 5, 6, 2, 8, 10, None, 12, 7, 19, 18, 14, 17, 16, 13, 20, 24, 11, 21, 22, 23, 15]",TIMEOUT,TIMEOUT,31,1468,31,3293
"[1, 2, 9, 3, 5, 7, 11, None, 4, 10, 6, 18, 8, 13, 15, 21, 12, 17, 14, 20, 22, 16, 23, 19, 24]",21,603,21,93,21,114
"[1, 7, 9, 4, 10, 11, 6, 2, 14, 5, 12, 8, 3, None, 15, 16, 17, 13, 23, 20, 21, 22, 19, 18, 24]",TIMEOUT,TIMEOUT,33,31831,33,88408
"[1, None, 3, 4, 5, 6, 2, 7, 8, 10, 11, 12, 14, 9, 15, 16, 17, 13, 18, 20, 21, 22, 23, 19, 24]",9,10,9,10,9,10
