initial_state,h1_steps,h1_expanded,h2_steps,h2_expanded,h3_steps,h3_expanded
"[7, 6, 3, 4, 10, 1, 8, 2, 5, 9, 11, 12, 13, 19, 14, None, 17, 18, 15, 20, 16, 21, 22, 23, 24]",TIMEOUT,TIMEOUT,33,16543,33,49568
"[2, 7, 3, 4, 5, 1, None, 8, 13, 10, 6, 12, 18, 9, 15, 11, 17, 19, 22, 20, 16, 21, 23, 14, 24]",26,41793,26,1552,26,2343
"[1, 7, 4, None, 5, 6, 3, 2, 8, 10, 16, 13, 14, 9, 15, 12, 11, 17, 20, 24, 21, 22, 18, 23, 19]",23,1830,23,57,23,193
"[6, 1, 2, 3, 4, 11, 7, 8, 10, 5, None, 12, 13, 9, 15, 16, 17, 18, 14, 19, 21, 22, 23, 24, 20]",12,13,12,13,12,13
"[2, 3, 4, 9, 5, 6, 1, 7, 8, 10, 11, 16, 12, 14, 15, None, 21, 13, 18, 20, 23, 17, 22, 19, 24]",29,111451,29,5275,29,7168
"[1, 9, 7, 14, 4, 6, 3, None, 2, 15, 11, 12, 13, 10, 5, 16, 18, 19, 8, 20, 21, 17, 22, 23, 24]",TIMEOUT,TIMEOUT,33,6141,33,18458
"[6, 1, None, 4, 5, 11, 7, 2, 8, 9, 13, 12, 3, 15, 10, 16, 21, 14, 19, 20, 22, 17, 18, 23, 24]",28,25486,28,1075,28,1450
"[6, 1, None, 5, 10, 11, 2, 9, 4, 3, 17, 16, 7, 13, 14, 12, 18, 8, 19, 15, 21, 22, 23, 24, 20]",30,110587,30,717,30,1662
"[3, None, 8, 4, 5, 1, 2, 9, 10, 15, 6, 7, 12, 24, 14, 11, 17, 13, 23, 19, 16, 18, 21, 22, 20]",29,18387,29,172,29,218
"[1, 2, 3, 4, 5, 16, 6, 8, 9, 10, 7, 17, 11, 15, 20, 12, 18, 22, 19, 24, 21, 14, None, 23, 13]",TIMEOUT,TIMEOUT,34,13050,34,61542
"[1, 3, 8, None, 5, 6, 2, 9, 4, 10, 11, 7, 12, 13, 20, 16, 17, 18, 15, 19, 21, 22, 23, 24, 14]",19,2233,19,211,19,290
"[7, 1, None, 3, 5, 6, 2, 8, 4, 10, 11, 12, 13, 9, 15, 16, 17, 18, 14, 24, 21, 22, 23, 20, 19]",22,10547,22,1147,22,1902
"[1, 2, 3, 9, 4, 6, 7, 8, 10, 14, 11, 12, 13, 5, 15, None, 17, 23, 18, 24, 16, 21, 22, 20, 19]",23,5618,23,272,23,483
"[1, 2, 9, 3, 5, 6, 7, 8, 10, 14, 11, 24, 13, 19, 4, 16, 12, 17, 23, 15, 21, 22, 18, None, 20]",27,122552,27,1011,27,2795
"[4, 2, 9, 5, 10, 3, 6, 7, 18, 12, 1, None, 17, 8, 13, 11, 16, 23, 14, 15, 21, 22, 24, 20, 19]",TIMEOUT,TIMEOUT,43,18617,TIMEOUT,TIMEOUT
"[12, 7, 8, 2, 5, 6, 1, 3, 4, 10, 13, 14, 9, None, 15, 21, 11, 18, 19, 20, 17, 22, 16, 23, 24]",TIMEOUT,TIMEOUT,37,17029,37,84717
"[1, 12, 2, None, 5, 7, 8, 4, 3, 9, 6, 16, 14, 15, 10, 11, 22, 13, 18, 19, 21, 23, 17, 24, 20]",25,1234,25,53,25,67
"[2, 6, 3, 4, 5, 7, None, 8, 9, 10, 1, 11, 13, 18, 15, 21, 12, 24, 14, 20, 17, 16, 22, 19, 23]",TIMEOUT,TIMEOUT,30,7455,30,14347
"[6, 1, 2, 3, 5, 11, 7, 8, 4, 10, 12, None, 19, 9, 15, 16, 17, 14, 13, 20, 21, 22, 18, 23, 24]",17,86,17,29,17,29
"[1, 2, 3, 4, 5, 11, 6, 7, 9, 10, 12, 17, 8, 14, 15, 13, 22, None, 21, 24, 16, 18, 23, 20, 19]",TIMEOUT,TIMEOUT,29,2586,29,8174
"[1, 7, 4, 5, 10, 6, 3, 2, 9, 8, 11, 12, 13, 14, 15, 16, 17, 24, 23, 19, 21, 22, None, 18, 20]",22,2500,22,194,22,283
"[1, 2, 13, 3, 5, 11, 6, 15, 4, 10, 17, None, 12, 9, 8, 7, 16, 18, 14, 19, 21, 22, 23, 24, 20]",27,96782,27,801,27,1833
"[2, 6, 3, 4, 5, 1, 12, 7, 10, 14, 16, 11, 9, 18, 24, None, 17, 8, 13, 19, 21, 22, 15, 20, 23]",TIMEOUT,TIMEOUT,35,2814,35,17529
"[1, 2, 3, 10, 4, 6, 12, 7, 8, 5, 11, None, 13, 9, 14, 16, 17, 18, 19, 15, 21, 22, 23, 24, 20]",11,18,11,16,11,16
"[6, 1, 3, 10, 4, 11, 2, 7, 8, 5, None, 12, 15, 9, 20, 16, 17, 13, 14, 24, 21, 22, 19, 18, 23]",24,2238,24,55,24,101
"[6, 7, 1, 3, 5, None, 11, 2, 4, 9, 12, 13, 8, 14, 10, 16, 17, 24, 19, 20, 21, 22, 18, 15, 23]",29,149874,29,1760,29,3731
"[1, 8, 2, 4, 5, 7, 12, 3, 9, 10, 11, 13, 14, 19, 15, 17, 6, 18, 20, 24, 16, 21, 22, None, 23]",23,1984,23,98,23,125
"[1, 2, 3, 4, 5, 7, 11, 8, 9, 10, 21, 6, 23, None, 13, 12, 16, 14, 19, 15, 17, 22, 24, 18, 20]",TIMEOUT,TIMEOUT,29,1094,29,3773
"[2, 7, 6, 3, 5, 1, 9, 8, 4, 10, 11, 13, 14, 19, 15, 16, 12, 18, 20, None, 21, 17, 22, 23, 24]",23,2396,23,203,23,214
"[6, 1, 2, 3, 9, 12, 7, 8, 5, 4, None, 13, 14, 15, 10, 11, 22, 17, 18, 19, 16, 21, 23, 24, 20]",24,496,24,64,24,85
"[1, 7, 2, 3, 5, 6, 12, 10, 4, 14, 11, 8, 13, 20, 9, 17, 22, 21, 18, 15, 16, None, 23, 19, 24]",TIMEOUT,TIMEOUT,31,2914,31,6789
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 20, 13, 14, 16, 17, 15, 19, 24, 21, 22, 18, 23, None]",20,9356,20,860,20,1090
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 22, 18, 13, 16, 23, 17, 15, 14, 21, 19, 24, None, 20]",23,34954,23,668,23,1315
"[1, 7, 2, 3, 5, 6, None, 13, 4, 9, 11, 8, 12, 24, 10, 16, 17, 14, 18, 15, 21, 22, 23, 20, 19]",20,1018,20,43,20,66
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 19, None, 13, 16, 22, 18, 17, 15, 21, 14, 23, 24, 20]",21,20622,21,792,21,1203
"[6, 1, 3, 5, 9, 11, 8, 2, 4, 10, 12, None, 7, 20, 14, 16, 17, 13, 18, 19, 21, 22, 23, 24, 15]",TIMEOUT,TIMEOUT,29,5771,29,9718
"[1, 2, 4, 15, 5, 6, 7, None, 3, 8, 11, 12, 13, 9, 10, 16, 17, 18, 14, 19, 21, 22, 23, 24, 20]",17,1087,17,157,17,174
"[7, 6, 2, 4, 5, 1, 3, 14, 8, 10, 11, 13, None, 9, 15, 16, 12, 18, 24, 23, 21, 17, 22, 20, 19]",26,26463,26,259,26,978
"[1, 2, 8, 3, 13, 12, 11, 7, 10, 5, 16, 6, 9, 4, 20, None, 17, 19, 15, 24, 21, 22, 18, 14, 23]",TIMEOUT,TIMEOUT,35,2578,35,10085
"[7, 14, 2, 3, 5, 1, 9, 15, 4, 8, 11, 6, None, 18, 10, 13, 16, 12, 24, 19, 21, 22, 17, 23, 20]",TIMEOUT,TIMEOUT,38,1648,38,19176
"[2, 3, 4, 10, 9, 1, 7, 8, 5, None, 6, 11, 18, 17, 15, 12, 21, 23, 13, 20, 16, 22, 19, 14, 24]",TIMEOUT,TIMEOUT,33,1284,33,5547
"[1, 2, 3, None, 4, 6, 7, 14, 9, 5, 11, 12, 8, 13, 10, 16, 17, 18, 19, 15, 21, 22, 23, 24, 20]",11,40,11,26,11,26
"[1, 2, 3, 4, 5, 6, 7, 9, 14, 10, 17, None, 8, 18, 15, 16, 21, 11, 12, 20, 22, 13, 23, 19, 24]",25,52984,25,393,25,1291
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 21, 14, 19, 22, 16, 18, 20, None, 11, 23, 17, 24, 15]",TIMEOUT,TIMEOUT,31,17907,31,45815
"[1, 2, 4, 8, 5, 6, 7, 3, 10, 15, 11, 12, 14, 9, None, 16, 17, 13, 19, 20, 21, 22, 18, 23, 24]",12,27,12,19,12,19
"[2, None, 4, 8, 3, 1, 6, 13, 9, 5, 11, 7, 18, 14, 10, 16, 12, 17, 19, 15, 21, 22, 23, 24, 20]",21,991,21,192,21,197
"[1, 2, 3, 4, 5, 16, 6, 7, 8, 9, 12, 17, 13, 14, 10, 18, None, 11, 19, 15, 21, 22, 23, 24, 20]",22,7450,22,629,22,694
"[2, 3, None, 4, 5, 1, 7, 8, 9, 10, 6, 17, 16, 14, 15, 13, 23, 11, 18, 19, 21, 12, 22, 24, 20]",26,31502,26,345,26,686
"[1, 2, 4, 10, 9, None, 6, 7, 3, 5, 11, 17, 8, 13, 15, 21, 12, 16, 14, 20, 23, 19, 22, 18, 24]",TIMEOUT,TIMEOUT,31,810,31,2446
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 18, 15, 16, 12, 23, None, 24, 21, 17, 20, 22, 19]",20,6874,20,222,20,378
"[1, 2, 7, 4, 5, 6, 8, 3, 9, 10, 11, 12, 13, 19, 14, 17, None, 22, 18, 15, 16, 23, 21, 24, 20]",26,64661,26,5323,26,6795
"[1, 2, 3, 4, 5, 6, 7, None, 9, 10, 11, 12, 8, 14, 15, 16, 17, 13, 23, 20, 21, 22, 19, 18, 24]",9,28,9,17,9,17
"[1, 7, 2, 3, 5, None, 6, 8, 4, 9, 11, 12, 13, 14, 10, 16, 17, 18, 19, 15, 21, 22, 23, 24, 20]",9,10,9,10,9,10
"[1, None, 3, 4, 5, 6, 2, 7, 8, 10, 11, 12, 19, 9, 14, 16, 17, 13, 23, 15, 21, 22, 24, 18, 20]",15,114,15,23,15,23
"[1, 2, 4, 5, 10, 6, 7, 3, 14, 9, 11, 13, 8, 18, 15, 16, 12, 17, 20, None, 21, 22, 23, 19, 24]",15,20,15,18,15,18
"[1, 2, 3, 9, 4, 6, 7, 8, None, 5, 12, 16, 14, 15, 10, 11, 18, 13, 24, 19, 21, 17, 22, 23, 20]",18,69,18,25,18,25
"[1, 4, 12, 5, 10, 7, 2, 8, 3, 9, 6, 16, 13, 14, 15, 11, 22, 17, 19, 20, 21, None, 18, 23, 24]",25,4845,25,167,25,242
"[1, 2, 3, None, 5, 6, 7, 8, 4, 9, 11, 17, 14, 15, 10, 12, 22, 13, 19, 20, 16, 21, 18, 23, 24]",23,8424,23,1490,23,1692
"[1, 7, 2, None, 4, 6, 3, 9, 10, 5, 16, 12, 8, 13, 19, 17, 11, 18, 15, 20, 21, 22, 23, 14, 24]",25,10741,25,469,25,803
"[1, 2, 3, 5, 9, 6, 7, 8, 19, 4, 11, 12, 14, None, 15, 16, 17, 13, 18, 10, 21, 22, 23, 24, 20]",21,14177,21,1428,21,1730
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 19, 16, 11, 12, 13, 14, 21, 18, 15, 10, None, 22, 17, 23, 24, 20]",23,9742,23,281,23,503
"[2, 6, 3, 4, 5, 1, 7, 13, 8, 10, 16, 11, 12, 9, 19, None, 21, 24, 15, 14, 22, 17, 18, 23, 20]",27,15299,27,428,27,1010
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 18, 13, 19, 16, 17, None, 15, 14, 21, 22, 23, 24, 20]",9,35,9,17,9,17
"[6, 1, 8, 3, 4, 2, 12, 7, 9, 5, 11, None, 13, 14, 10, 16, 17, 18, 20, 15, 21, 22, 23, 19, 24]",15,30,15,26,15,26
"[1, 7, 2, 3, 5, 6, 8, 18, 4, 9, None, 11, 12, 17, 15, 16, 22, 14, 24, 10, 21, 23, 13, 20, 19]",TIMEOUT,TIMEOUT,32,3328,32,8051
"[2, 4, 8, 3, 5, None, 1, 13, 10, 14, 7, 6, 17, 9, 15, 11, 12, 16, 18, 20, 21, 22, 23, 19, 24]",TIMEOUT,TIMEOUT,31,5970,31,10656
"[1, 2, 3, 4, 5, 6, 7, None, 9, 10, 11, 12, 8, 14, 15, 21, 23, 13, 18, 24, 17, 16, 22, 20, 19]",17,420,17,49,17,74
"[6, 1, 2, 4, 5, 11, 7, 3, 9, 10, 12, 8, 13, 14, 15, 16, 21, 18, 24, 19, 22, 17, 23, 20, None]",22,1085,22,200,22,244
"[6, 1, 7, 2, 4, 3, 11, 8, 10, 5, 16, None, 13, 9, 15, 12, 22, 17, 14, 19, 21, 18, 23, 24, 20]",TIMEOUT,TIMEOUT,31,1739,31,4508
"[7, 1, 8, 3, 5, 6, 2, 13, 4, 9, 11, 12, None, 14, 10, 16, 18, 24, 19, 15, 21, 17, 22, 23, 20]",26,25369,26,2302,26,3082
"[1, 2, 10, 4, 15, 12, 6, 3, 14, 5, 11, 13, 8, 19, 9, 17, None, 7, 18, 24, 16, 21, 22, 20, 23]",TIMEOUT,TIMEOUT,38,14201,38,78068
"[2, 7, 3, 4, 5, 1, 8, 9, 10, 15, 12, 17, 13, 20, 19, None, 6, 18, 23, 14, 11, 16, 21, 22, 24]",29,14705,29,139,29,201
"[6, 3, 2, 1, 10, None, 12, 5, 14, 9, 17, 4, 11, 8, 15, 7, 16, 13, 19, 20, 21, 22, 18, 23, 24]",TIMEOUT,TIMEOUT,39,16389,39,67480
"[1, 2, 3, 4, 5, None, 6, 7, 10, 15, 11, 12, 8, 13, 20, 21, 16, 19, 9, 24, 17, 22, 18, 14, 23]",23,2322,23,97,23,108
"[1, 2, 10, 4, 5, 6, 7, 3, 9, 8, 11, 12, 13, 20, 14, 16, 17, 18, 15, None, 21, 22, 23, 19, 24]",19,3231,19,268,19,339
"[6, 1, 2, 4, 5, 7, 3, 15, 18, 9, 11, 12, 8, 20, 13, 16, 17, 19, 10, None, 21, 22, 14, 23, 24]",29,133608,29,411,29,1298
"[1, 7, 2, 3, 5, 11, 6, 9, 4, 15, None, 12, 8, 18, 14, 16, 17, 13, 20, 10, 21, 22, 23, 19, 24]",22,2131,22,278,22,283
"[1, 2, 4, 9, 5, 6, 7, 3, 14, 10, 16, 13, 8, 17, 15, 12, 22, 11, 19, 18, None, 21, 23, 24, 20]",TIMEOUT,TIMEOUT,28,3101,28,5408
