initial_state,h1_steps,h1_expanded,h2_steps,h2_expanded,h3_steps,h3_expanded
"[4, 3, 5, 2, None, 1, 7, 8, 6]",10,45,10,16,10,17
"[1, 2, 6, 5, 8, None, 4, 7, 3]",17,1136,17,333,17,348
"[4, 5, 6, 1, 2, None, 7, 3, 8]",19,2773,19,607,19,707
"[None, 1, 3, 6, 2, 8, 5, 4, 7]",12,90,12,18,12,19
"[None, 1, 3, 5, 7, 8, 6, 4, 2]",20,3510,20,461,20,616
"[2, 6, 3, 1, None, 8, 4, 7, 5]",10,44,10,13,10,17
"[3, 6, None, 5, 8, 7, 4, 1, 2]",24,18354,24,1605,24,2368
"[2, 3, 6, 1, 5, None, 4, 7, 8]",7,9,7,8,7,8
"[2, 4, 3, None, 6, 8, 1, 7, 5]",11,63,11,14,11,16
"[4, 3, 8, 2, 1, 5, 7, 6, None]",14,232,14,46,14,59
"[8, None, 1, 4, 5, 3, 7, 2, 6]",15,429,15,96,15,106
"[4, 1, 6, 5, None, 2, 3, 7, 8]",14,302,14,43,14,54
"[1, 2, 8, 4, 6, None, 7, 3, 5]",13,200,13,65,13,72
"[1, 2, 3, 4, None, 5, 7, 8, 6]",2,3,2,3,2,3
"[5, 4, 6, 7, 3, 1, None, 8, 2]",22,8505,22,1121,22,1477
"[7, 3, 6, 2, 1, 8, None, 5, 4]",16,501,16,37,16,56
"[2, 5, 8, 1, 6, 7, 4, 3, None]",18,1287,18,164,18,209
"[4, 1, 6, 7, 3, None, 5, 8, 2]",13,165,13,31,13,40
"[5, 1, 2, None, 7, 3, 6, 4, 8]",13,157,13,32,13,41
"[3, 6, None, 1, 7, 8, 5, 2, 4]",16,465,16,25,16,38
"[4, 1, 6, 5, 2, 7, 8, None, 3]",21,6167,21,1010,21,1220
"[2, 3, 5, None, 1, 6, 7, 4, 8]",11,65,11,26,11,27
"[8, 1, 3, 5, 4, 2, 7, None, 6]",21,6634,21,1303,21,1592
"[4, 3, 5, 7, 2, 1, 8, None, 6]",13,162,13,37,13,39
"[5, 2, 6, 7, 4, 1, None, 8, 3]",20,3614,20,660,20,766
"[1, 2, 3, 8, 5, None, 7, 6, 4]",15,488,15,163,15,177
"[4, None, 1, 6, 8, 3, 5, 2, 7]",19,2348,19,263,19,332
"[4, 1, 6, 8, 7, 2, None, 5, 3]",18,1538,18,342,18,385
"[1, 4, 2, 5, 3, 6, 8, None, 7]",17,1056,17,280,17,310
"[6, 2, None, 1, 5, 3, 7, 8, 4]",16,622,16,156,16,174
"[1, None, 3, 4, 7, 5, 8, 2, 6]",11,80,11,28,11,28
"[None, 1, 7, 2, 3, 5, 8, 4, 6]",20,3584,20,420,20,617
"[1, 2, 3, 4, 6, 8, 7, None, 5]",5,10,5,6,5,6
"[5, 3, 2, 7, None, 4, 8, 6, 1]",22,10397,22,1267,22,1760
"[1, 2, 3, 4, 6, None, 7, 5, 8]",3,5,3,4,3,4
"[5, 2, 4, 1, 7, 3, 8, 6, None]",16,550,16,88,16,105
"[1, 2, 6, 3, 5, None, 8, 4, 7]",17,1025,17,217,17,254
"[1, 3, 5, 4, 2, None, 7, 8, 6]",5,8,5,7,5,7
"[None, 4, 6, 3, 5, 8, 7, 1, 2]",20,3375,20,336,20,493
"[2, 7, None, 1, 6, 3, 5, 4, 8]",12,90,12,23,12,28
"[8, None, 4, 2, 3, 5, 1, 7, 6]",19,2356,19,295,19,369
"[2, 5, 3, 1, None, 8, 4, 6, 7]",10,47,10,16,10,16
"[4, 1, 5, 8, 2, None, 7, 6, 3]",13,175,13,41,13,44
"[3, 2, 8, 4, 6, 1, 7, None, 5]",19,2361,19,320,19,407
"[2, 3, None, 1, 4, 8, 6, 5, 7]",16,542,16,78,16,102
"[8, 3, 7, 1, 5, 6, 2, None, 4]",25,29438,25,2245,25,3780
"[2, 6, 3, 4, 8, None, 1, 5, 7]",17,984,17,229,17,255
"[1, 8, 3, 4, 7, 5, 2, None, 6]",13,183,13,54,13,58
"[1, 2, 3, 8, None, 5, 4, 7, 6]",6,13,6,9,6,9
"[1, 2, 4, 7, 8, 3, None, 6, 5]",14,251,14,50,14,66
"[1, 6, 2, 4, None, 8, 7, 3, 5]",10,63,10,22,10,27
"[6, 7, 1, 4, None, 3, 2, 8, 5]",22,9960,22,1057,22,1398
"[7, 2, 4, 5, 1, 3, None, 8, 6]",16,522,16,77,16,93
"[1, 7, 3, 5, None, 2, 4, 6, 8]",18,1994,18,428,18,517
"[8, 1, 3, 4, 2, 6, 5, 7, None]",16,590,16,145,16,158
"[3, 6, 5, 4, None, 1, 2, 8, 7]",24,22707,24,2577,24,3591
"[1, 3, 6, 8, 2, None, 4, 5, 7]",13,202,13,58,13,60
"[8, 7, 5, 6, 2, None, 1, 3, 4]",27,58987,27,4196,27,7797
"[4, 2, 1, 8, 5, None, 3, 7, 6]",19,2375,19,352,19,439
"[7, 5, 4, 1, None, 2, 8, 6, 3]",18,1658,18,244,18,276
"[1, 7, 3, 8, 4, 5, 2, None, 6]",15,437,15,79,15,101
"[1, 2, 4, None, 6, 3, 7, 5, 8]",11,81,11,28,11,28
"[1, 2, 3, 8, 5, 6, None, 4, 7]",10,52,10,32,10,32
"[2, 4, 3, 1, 5, 6, 7, None, 8]",7,13,7,11,7,11
"[4, 8, 1, 2, 6, 3, 7, None, 5]",13,155,13,27,13,30
"[4, 1, 2, 6, 5, 3, 7, None, 8]",9,29,9,13,9,13
"[4, 1, 3, 6, None, 8, 2, 7, 5]",12,117,12,19,12,23
"[7, 1, 3, 2, 8, 4, None, 5, 6]",14,232,14,49,14,51
"[8, 7, 1, 5, None, 2, 3, 4, 6]",22,9426,22,753,22,1128
"[None, 6, 2, 1, 7, 3, 5, 4, 8]",12,89,12,36,12,40
"[1, 3, 5, None, 2, 6, 4, 7, 8]",9,28,9,13,9,13
"[4, 6, 1, None, 2, 3, 7, 5, 8]",11,61,11,24,11,24
"[1, 3, 2, 6, 5, None, 4, 7, 8]",17,1218,17,339,17,373
"[1, 5, 2, 4, 6, 8, 7, None, 3]",9,35,9,20,9,20
"[None, 2, 3, 1, 4, 6, 7, 5, 8]",4,5,4,5,4,5
"[2, 6, 3, 1, 5, None, 4, 8, 7]",15,460,15,163,15,173
"[7, 3, 5, 1, 4, 6, 8, None, 2]",17,949,17,130,17,159
"[1, 2, None, 6, 8, 4, 7, 3, 5]",18,1466,18,207,18,280
"[8, 7, 5, 2, 4, 1, None, 3, 6]",22,7362,22,336,22,653
"[4, 3, None, 7, 2, 1, 8, 5, 6]",14,254,14,85,14,86
"[5, 2, None, 3, 1, 8, 6, 4, 7]",18,1152,18,57,18,88
"[1, None, 2, 7, 5, 6, 3, 4, 8]",13,173,13,48,13,55
"[8, 3, 7, 2, None, 4, 5, 6, 1]",24,21496,24,892,24,1895
"[1, 3, 5, 7, None, 6, 2, 4, 8]",12,114,12,35,12,38
"[4, None, 3, 2, 1, 6, 7, 5, 8]",7,13,7,10,7,10
"[4, 6, 5, 7, None, 1, 3, 2, 8]",22,10002,22,906,22,1414
"[4, 3, 6, 2, None, 5, 7, 8, 1]",14,309,14,65,14,80
"[1, 5, 6, 7, 2, 4, None, 3, 8]",18,1491,18,260,18,336
"[2, 4, 3, 1, None, 5, 7, 8, 6]",6,10,6,9,6,9
"[1, 3, 5, None, 4, 2, 7, 8, 6]",7,15,7,9,7,9
"[2, 1, 5, 7, 8, 6, None, 4, 3]",24,20375,24,3792,24,4689
"[5, None, 1, 7, 3, 2, 6, 4, 8]",17,949,17,111,17,148
"[None, 4, 5, 2, 3, 1, 7, 8, 6]",12,85,12,27,12,33
"[1, 3, 6, 4, 5, 2, None, 7, 8]",8,19,8,14,8,14
"[2, 1, 8, 6, 3, 7, 5, 4, None]",22,7977,22,606,22,926
"[1, None, 8, 6, 3, 4, 7, 2, 5]",19,2570,19,308,19,411
